Name,Team,Pos,PA,GROOVE,Damage/BBE,Selectivity (%),Hittable Pitch Take (%),Chase (%),Z-Contact (%),Whiff vs. Secondaries (%),Z-Swing (%),Zone (%)
Joshua Báez,STL,RF,9,5.44,62.5,54.5,29.4,31.2,90.9,36.4,64.7,51.5
Gustavo Melendez,PIT,SS,1,4.42,,100.0,0.0,0.0,,,0.0,20.0
Jacob Humphrey,COL,OF,1,4.42,,100.0,0.0,0.0,,,0.0,20.0
Hyun Seung Lee,PIT,IF,1,4.42,,100.0,0.0,0.0,,,0.0,33.3
Damon Keith,LAD,RF,1,4.42,0.0,50.0,0.0,0.0,100.0,,100.0,100.0
Shalin Polanco,PIT,OF,1,4.42,0.0,50.0,0.0,0.0,100.0,,100.0,100.0
Dub Gleed,MIA,SS,1,4.42,0.0,50.0,0.0,0.0,100.0,,100.0,100.0
Matt Scannell,TOR,OF,1,4.42,,100.0,0.0,0.0,,,,0.0
Jay Harry,TOR,2B,1,4.42,0.0,50.0,0.0,,100.0,,50.0,200.0
Matt Thaiss,BOS,C,1,4.42,,100.0,0.0,0.0,,,0.0,20.0
Josh Hood,SEA,SS,1,4.42,,50.0,0.0,,100.0,,50.0,200.0
Freddy Zamora,MIL,SS,4,4.42,0.0,55.6,0.0,0.0,100.0,,80.0,100.0
Luke Williams,ATL,SS,1,4.42,,100.0,0.0,0.0,,,,0.0
Alex Binelas,PHI,1B,1,4.42,,100.0,0.0,0.0,,,0.0,20.0
Yordany De Los Santos,PIT,SS,1,4.42,0.0,83.3,0.0,0.0,100.0,,33.3,60.0
Walker Martin,SF,SS,1,4.42,,100.0,0.0,0.0,,,,0.0
Logan Wagner,LAD,SS,1,4.42,0.0,66.7,0.0,0.0,100.0,0.0,100.0,50.0
Ryan Mitchell,STL,OF,1,4.42,0.0,66.7,0.0,0.0,100.0,,50.0,100.0
Stanley Tucker,BOS,OF,1,4.42,0.0,50.0,0.0,0.0,100.0,,100.0,100.0
Kai Roberts,SD,OF,1,4.42,,100.0,0.0,0.0,,,,0.0
Theo Gillen,TB,OF,2,4.42,0.0,83.3,0.0,0.0,100.0,,50.0,40.0
Merphy Hernandez,MIN,OF,2,4.42,0.0,66.7,0.0,0.0,100.0,,100.0,50.0
Francisco Urbaez,CIN,2B,1,4.42,,100.0,0.0,0.0,,,0.0,50.0
Jacob Jenkins-Cowart,MIA,OF,1,4.42,,50.0,0.0,,100.0,0.0,50.0,200.0
Gabriel Rodriguez,CLE,SS,1,4.42,0.0,50.0,0.0,0.0,100.0,,100.0,100.0
Ahbram Liendo,BOS,2B,1,4.42,,100.0,0.0,0.0,,,0.0,25.0
Heribert Silva,CLE,OF,2,3.26,,80.0,0.0,0.0,100.0,,100.0,40.0
GJ Hill,COL,SS,3,3.26,0.0,66.7,0.0,33.3,100.0,0.0,50.0,80.0
Adael Amador,COL,2B,4,3.21,300.0,66.7,20.0,0.0,75.0,0.0,50.0,57.1
Jake Gelof,LAD,3B,2,3.05,0.0,71.4,0.0,16.7,100.0,0.0,100.0,16.7
Bryson Ware,PHI,3B,1,3.02,0.0,100.0,0.0,20.0,,0.0,0.0,16.7
Joe Lampe,CLE,OF,2,2.97,0.0,100.0,0.0,16.7,100.0,,50.0,25.0
Kervin Pichardo,WSH,SS,2,2.97,0.0,75.0,0.0,0.0,100.0,0.0,100.0,50.0
Natanael Yuten,BOS,CF,1,2.97,0.0,100.0,0.0,0.0,100.0,,100.0,25.0
Dylan Jasso,MIA,1B,1,2.97,,100.0,0.0,33.3,,,0.0,25.0
Jair Camargo,ATL,C,2,2.96,100.0,50.0,33.3,33.3,66.7,66.7,75.0,57.1
Rowdy Tellez,ATL,1B,11,2.94,40.0,64.5,31.0,29.6,80.0,50.0,60.0,48.1
Yordan Alvarez,HOU,DH,523,2.91,46.1,67.4,20.9,28.2,91.5,22.4,61.4,44.0
Jheremy Vargas,MIL,SS,1,2.78,0.0,80.0,0.0,0.0,100.0,,100.0,20.0
Mike Jarvis,PIT,SS,1,2.78,0.0,80.0,0.0,0.0,100.0,,100.0,20.0
